[2026-07-07 21:06:56,482] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-07 21:07:56,633] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Market price of wheat?'}
[2026-07-07 21:07:56,661] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Market | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:07:56,671] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:07:57,164] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:07:57,265] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Market price of wheat?'}
[2026-07-07 21:07:57,275] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Market | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:07:57,277] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:07:57,762] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:07:58,827] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Explain PM-Kisan scheme and weather risks in Ludhi'}
[2026-07-07 21:07:58,849] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:GovernmentScheme | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:07:58,857] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:07:59,647] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:08:13,413] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about the PM-Kisan scheme and who is eligi'}
[2026-07-07 21:08:13,423] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:GovernmentScheme | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:13,425] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:13,687] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:08:15,471] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about PM-Kisan scheme.'}
[2026-07-07 21:08:15,472] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:GovernmentScheme | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:15,480] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:15,842] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:08:34,325] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What irrigation advice is recommended for my rice '}
[2026-07-07 21:08:34,346] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:34,355] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:34,834] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:08:51,891] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-07 21:08:51,907] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Market | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:51,907] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:53,257] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:08:53,461] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-07 21:08:53,477] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Market | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:53,489] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:54,296] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:08:54,899] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-07 21:08:54,901] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-07 21:08:55,236] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_7dd13f7321f67f85', 'role': 'Admin'}
[2026-07-07 21:08:55,464] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_7dd13f7321f67f85'}
[2026-07-07 21:08:55,492] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-07 21:08:55,503] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-07 21:08:55,505] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-07 21:08:55,962] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-07 21:08:55,964] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-07 21:08:55,991] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-07 21:08:56,694] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the weather in Khanna Punjab?'}
[2026-07-07 21:08:56,710] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Weather | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:56,713] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:57,369] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:08:58,989] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'weather forecast'}
[2026-07-07 21:08:59,012] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Weather | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:08:59,021] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:09:00,287] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:10:47,802] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-07 21:10:47,804] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-07 21:10:48,753] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_c07bda9b17987805', 'role': 'Admin'}
[2026-07-07 21:10:48,839] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_c07bda9b17987805'}
[2026-07-07 21:10:48,871] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-07 21:10:48,879] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-07 21:10:48,879] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-07 21:10:49,119] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-07 21:10:49,126] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-07 21:10:49,144] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-07 21:11:22,129] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-07 21:11:22,132] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-07 21:11:23,175] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_5f943fe856335dbd', 'role': 'Admin'}
[2026-07-07 21:11:23,279] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_5f943fe856335dbd'}
[2026-07-07 21:11:23,330] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-07 21:11:23,351] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-07 21:11:23,355] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-07 21:11:23,857] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-07 21:11:23,865] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-07 21:11:23,884] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-07 21:11:48,498] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Should I plant Wheat in Ludhiana next season?'}
[2026-07-07 21:11:48,512] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:11:49,289] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:11:50,788] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Market price of wheat?'}
[2026-07-07 21:11:50,808] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:11:51,877] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:11:52,121] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Market price of wheat?'}
[2026-07-07 21:11:52,159] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:11:53,335] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:11:54,996] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Explain PM-Kisan scheme and weather risks in Ludhi'}
[2026-07-07 21:11:55,008] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:11:55,775] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:12:13,590] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about the PM-Kisan scheme and who is eligi'}
[2026-07-07 21:12:13,608] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:12:14,450] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:12:17,416] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about PM-Kisan scheme.'}
[2026-07-07 21:12:17,451] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:12:19,045] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:12:55,578] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What irrigation advice is recommended for my rice '}
[2026-07-07 21:12:55,618] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:12:55,640] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:12:56,782] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:13:16,000] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-07 21:13:16,009] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:13:16,459] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:13:16,588] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-07 21:13:16,607] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:13:17,703] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:13:18,315] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-07 21:13:18,317] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-07 21:13:18,774] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_450d048e5eb8b01d', 'role': 'Admin'}
[2026-07-07 21:13:18,808] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_450d048e5eb8b01d'}
[2026-07-07 21:13:18,838] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-07 21:13:18,850] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-07 21:13:18,850] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-07 21:13:19,097] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-07 21:13:19,099] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-07 21:13:19,108] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-07 21:13:19,822] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the weather in Khanna Punjab?'}
[2026-07-07 21:13:19,838] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:13:22,215] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-07 21:13:23,058] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'weather forecast'}
